"","SHHADID","SPANEL","SSUID","SWAVE","PNUM","MONTHCODE","WPFINWGT","TAGE","EDUCATION","SEX","RACE","METRO_STATUS","EMPLOYMENT_TYPE","CLASS_OF_WORKER","TFTOTINC","ANY_RETIREMENT_ACCESS","PARTICIPATING","MATCHING","TJB1_JOBHRS1","TOTYEARINC","in_age_range","FULL_PART_TIME"
"12",11,2018,28511493318,4,301,12,2888.94050022215,20,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",5922,"No","No","No",35,71064,"yes","full time"
"13",11,2018,28513538618,4,102,12,3685.90123657179,51,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",11335,"Yes","Yes","No",30,136020,"yes","part time"
"14",41,2018,28517288318,4,101,12,10746.5615105502,30,"High School or less","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2841,"Yes","Yes","Yes",40,34092,"yes","full time"
"15",11,2018,40681629418,4,102,12,3969.63993661015,54,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",7232,"No","No","No",40,86784,"yes","full time"
"16",21,2018,41803750918,4,201,12,7059.41117780902,28,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",3603,"Yes","Yes","Yes",40,43236,"yes","full time"
"17",31,2018,41803780418,4,101,12,4236.22313512405,52,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",11844,"Yes","Yes","Yes",50,142128,"yes","full time"
"18",11,2020,41804925320,2,101,12,3058.81950660453,62,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",27349,"Yes","Yes","Yes",48,328188,"yes","full time"
"19",11,2020,41804925320,2,102,12,3058.81950660453,59,"Bachelor's degree or higher","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",27349,"No","No","No",40,328188,"yes","full time"
"20",11,2020,41808629120,2,101,12,11482.7822277566,29,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",13395,"Yes","Yes","Yes",40,160740,"yes","full time"
"21",11,2018,41808644918,4,101,12,3783.14497261276,36,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",12892,"Yes","No","No",40,154704,"yes","full time"
"22",11,2018,41808644918,4,102,12,3783.14497261276,33,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",12892,"No","No","No",40,154704,"yes","full time"
"23",31,2018,41808689418,4,101,12,9010.07303800976,22,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4360,"No","No","No",35,52320,"yes","full time"
"24",11,2018,41809214918,4,101,12,4132.96685397889,55,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",41436,"Yes","No","No",55,497232,"yes","full time"
"25",11,2021,41809214921,1,101,12,3664.57895706623,30,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",12685,"Yes","Yes","Yes",55,152220,"yes","full time"
"26",11,2021,41809214921,1,102,12,3664.57895706623,30,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",12685,"Yes","Yes","Yes",50,152220,"yes","full time"
"27",11,2020,41809229420,2,101,12,4806.03106610983,66,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",10474,"Yes","Yes","Yes",45,125688,"no","full time"
"28",11,2018,41811460218,4,101,12,6549.08020462028,31,"Some college","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",4160,"No","No","No",50,49920,"yes","full time"
"29",11,2021,41813614921,1,102,12,3855.78870986506,32,"Bachelor's degree or higher","Male","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",10625,"Yes","Yes","Yes",50,127500,"yes","full time"
"30",11,2021,41817288721,1,102,12,3340.68801054387,45,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",7417,"Yes","Yes","Yes",55,89004,"yes","full time"
"31",11,2018,41818548218,4,101,12,2948.0142110302,61,"Some college","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",3871,"Yes","Yes","Yes",45,46452,"yes","full time"
"32",11,2018,41818593218,4,101,12,5277.14808758666,40,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",862,"Yes","No","No",40,10344,"yes","full time"
"33",21,2020,41819936020,2,201,12,1736.3297195246,60,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",11493,"No","No","No",40,137916,"yes","full time"
"34",21,2020,41819936020,2,202,12,1736.3297195246,65,"Some college","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",11493,"No","No","No",66,137916,"yes","full time"
"35",11,2018,41819995018,4,102,12,3628.41105301085,54,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",7834,"Yes","Yes","Yes",40,94008,"yes","full time"
"36",31,2018,41819995018,4,103,12,3022.94668804769,31,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3980,"Yes","Yes","Yes",40,47760,"yes","full time"
"37",11,2021,41819995021,1,102,12,4203.73813139425,54,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",6288,"Yes","Yes","Yes",40,75456,"yes","full time"
"38",11,2021,41820451621,1,101,12,4556.50327828268,38,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4609,"No","No","No",50,55308,"yes","full time"
"39",11,2018,41820917418,4,101,12,3547.61253835552,51,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",9217,"Yes","Yes","Yes",40,110604,"yes","full time"
"40",11,2018,41820917418,4,102,12,3547.61253835552,49,"Some college","Male","Mixed/Other","Nonmetropolitan area","Employer","Employee of a private, for-profit company",9217,"Yes","Yes","Yes",40,110604,"yes","full time"
"41",11,2018,41820990518,4,101,12,3757.43533804603,48,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4625,"No","No","No",39,55500,"yes","full time"
"42",11,2018,41820990518,4,102,12,3179.89709622149,23,"Bachelor's degree or higher","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4625,"No","No","No",15,55500,"yes","part time"
"43",11,2018,41820990518,4,103,12,3207.57722361544,18,"High School or less","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4625,"No","No","No",15,55500,"yes","part time"
"44",11,2021,41820990521,1,101,12,2112.27287395389,58,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",8064,"No","No","No",40,96768,"yes","full time"
"45",11,2018,41821551618,4,102,12,2320.17561351191,52,"High School or less","Male","Mixed/Other","Nonmetropolitan area","Employer","Employee of a private, not-for-profit company",3046,"Yes","Yes","Yes",40,36552,"yes","full time"
"46",11,2018,41821573718,4,101,12,3314.31135246176,34,"Bachelor's degree or higher","Male","Asian","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4005,"No","No","No",40,48060,"yes","full time"
"47",11,2020,41822806020,2,101,12,4997.20340431379,48,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",11518,"Yes","Yes","Yes",66,138216,"yes","full time"
"48",11,2020,41822806020,2,102,12,4997.20340431379,35,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",11518,"No","No","No",40,138216,"yes","full time"
"49",11,2018,41822820718,4,103,12,4880.04179481963,20,"High School or less","Male","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",1963,"No","No","No",30,23556,"yes","part time"
"50",11,2020,41822894420,2,101,12,4304.34194288606,79,"Some college","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",4408,"Yes","Yes","Yes",40,52896,"no","full time"
"51",11,2018,41827683118,4,101,12,3380.64508135071,66,"Bachelor's degree or higher","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, not-for-profit company",7579,"No","No","No",35,90948,"no","full time"
"52",11,2018,41828554918,4,101,12,4509.92530289267,49,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",8040,"Yes","No","No",45,96480,"yes","full time"
"53",11,2018,41828554918,4,401,12,5292.80532675761,43,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",4937,"Yes","Yes","Yes",40,59244,"yes","full time"
"54",32,2018,41829417418,4,101,12,5274.73969921669,41,"Some college","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",4357,"No","No","No",40,52284,"yes","full time"
"55",32,2018,41829417418,4,102,12,5869.55241087602,40,"Some college","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",2791,"No","No","No",2,33492,"yes","part time"
"56",41,2018,41829485218,4,101,12,9390.25072845053,25,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",2765,"Yes","No","No",40,33180,"yes","full time"
"57",31,2018,41829485218,4,102,12,4915.191565185,25,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",3502,"Yes","Yes","Yes",32,42024,"yes","part time"
"58",11,2020,41829494620,2,101,12,8964.663092082,48,"Some college","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",10035,"No","No","No",40,120420,"yes","full time"
"59",11,2018,41830317318,4,102,12,3840.94660699902,41,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, not-for-profit company",13419,"Yes","Yes","Yes",40,161028,"yes","full time"
"60",11,2021,41830329121,1,102,12,3414.79505323036,64,"Some college","Female","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",6993,"No","No","No",45,83916,"yes","full time"
"61",11,2020,41830331620,2,102,12,3386.88011403827,37,"Some college","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",7863,"Yes","Yes","Yes",40,94356,"yes","full time"
"62",11,2018,41830375318,4,102,12,3157.56033569723,46,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",11245,"Yes","Yes","Yes",40,134940,"yes","full time"
"63",11,2020,41830390520,2,101,12,6667.77393524568,58,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",2601,"No","No","No",37,31212,"yes","full time"
"64",11,2021,41833424021,1,102,12,3044.94636406874,64,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3017,"Yes","Yes","Yes",35,36204,"yes","full time"
"65",11,2021,41833425921,1,101,12,3060.91985820168,37,"High School or less","Female","Hispanic","Nonmetropolitan area","Employer","Employee of a private, not-for-profit company",4668,"No","No","No",40,56016,"yes","full time"
"66",11,2021,41833425921,1,102,12,3060.91985820168,51,"High School or less","Male","Hispanic","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4668,"Yes","Yes","Yes",47,56016,"yes","full time"
"67",11,2018,41833463018,4,101,12,7115.26445574418,23,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2122,"No","No","No",30,25464,"yes","part time"
"68",11,2020,41833466020,2,101,12,3242.45340795488,35,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",6463,"Yes","No","No",40,77556,"yes","full time"
"69",11,2018,41834203518,4,101,12,7182.29111175936,47,"Some college","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",20425,"No","No","No",40,245100,"yes","full time"
"70",11,2018,41834203518,4,102,12,7182.29111175936,48,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",20425,"Yes","Yes","Yes",40,245100,"yes","full time"
"71",11,2021,41834203521,1,101,12,4431.36853912876,38,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",3297,"Yes","Yes","Yes",40,39564,"yes","full time"
"72",11,2018,41834206718,4,101,12,3805.04042289318,63,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",13333,"Yes","Yes","Yes",55,159996,"yes","full time"
"73",11,2020,41834213420,2,101,12,8654.06950220345,31,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",2765,"Yes","Yes","Yes",40,33180,"yes","full time"
"74",11,2020,41834246520,2,102,12,3670.75370981487,55,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",30163,"No","No","No",40,361956,"yes","full time"
"75",11,2020,41834277020,2,101,12,5169.6956225701,61,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",11354,"Yes","Yes","Yes",40,136248,"yes","full time"
"76",31,2018,41834288718,4,101,12,6840.57179386679,70,"High School or less","Female","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",9114,"No","No","No",40,109368,"no","full time"
"77",11,2018,41835914918,4,102,12,6735.46593630871,58,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",20724,"Yes","Yes","Yes",45,248688,"yes","full time"
"78",11,2018,41835963018,4,102,12,4037.2531649734,66,"Some college","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",7352,"No","No","No",40,88224,"no","full time"
"79",31,2018,41835983118,4,101,12,12405.1203987387,26,"Some college","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",13996,"Yes","Yes","Yes",50,167952,"yes","full time"
"80",31,2018,41835983118,4,102,12,12405.1203987387,26,"Bachelor's degree or higher","Female","Non-Hispanic Black","Metropolitan area","Employer","Employee of a private, for-profit company",13996,"Yes","No","No",36,167952,"yes","full time"
"81",11,2020,41840619720,2,101,12,3555.5452305475,40,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",5446,"Yes","Yes","Yes",40,65352,"yes","full time"
"82",11,2018,41840624018,4,101,12,3465.92574532436,74,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2133,"No","No","No",12,25596,"no","part time"
"83",11,2018,41840647718,4,101,12,2862.71960607075,55,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2939,"No","No","No",40,35268,"yes","full time"
"84",11,2020,41840656820,2,101,12,9793.28650879747,29,"Some college","Male","Mixed/Other","Nonmetropolitan area","Employer","Employee of a private, for-profit company",9187,"Yes","Yes","Yes",50,110244,"yes","full time"
"85",11,2020,41840656820,2,102,12,9793.28650879747,32,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",9187,"No","No","No",55,110244,"yes","full time"
"86",11,2021,41840658221,1,101,12,2363.85033325191,40,"Some college","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",3696,"Yes","Yes","Yes",40,44352,"yes","full time"
"87",11,2021,41840658221,1,102,12,2404.77295469273,44,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",3696,"Yes","Yes","Yes",25,44352,"yes","part time"
"88",11,2018,41840662218,4,101,12,2799.24160143524,78,"Bachelor's degree or higher","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, not-for-profit company",7331,"Yes","Yes","No",20,87972,"no","part time"
"89",11,2020,41840666020,2,101,12,6370.5848052754,50,"Bachelor's degree or higher","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",15085,"Yes","Yes","Yes",40,181020,"yes","full time"
"90",11,2020,41840666020,2,102,12,6370.5848052754,51,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",15085,"Yes","Yes","Yes",40,181020,"yes","full time"
"91",11,2021,41840666021,1,101,12,4341.92389747276,50,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",5663,"Yes","Yes","Yes",40,67956,"yes","full time"
"92",11,2021,41840673021,1,101,12,3116.47884395973,59,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",9618,"Yes","Yes","Yes",40,115416,"yes","full time"
"93",11,2021,41840673021,1,102,12,3116.47884395973,52,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",9618,"Yes","Yes","Yes",45,115416,"yes","full time"
"94",22,2020,41840689820,2,103,12,6886.5518388163,27,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",3085,"Yes","Yes","No",40,37020,"yes","full time"
"95",11,2018,41840694418,4,101,12,2564.21019977994,56,"Bachelor's degree or higher","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3271,"Yes","Yes","Yes",40,39252,"yes","full time"
"96",11,2020,41840814920,2,201,12,2919.82358247893,21,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",1656,"No","No","No",30,19872,"yes","part time"
"97",22,2020,41841502320,2,102,12,2843.41680320244,36,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3073,"Yes","Yes","Yes",40,36876,"yes","full time"
"98",22,2020,41841502320,2,202,12,2894.12618020493,33,"High School or less","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3073,"No","No","No",40,36876,"yes","full time"
"99",11,2021,41841502321,1,102,12,5636.78790632379,40,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4648,"No","No","No",40,55776,"yes","full time"
"100",11,2021,41841502321,1,104,12,6388.49762093709,16,"High School or less","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4648,"Yes","No","No",50,55776,"no","full time"
"101",11,2018,41841829118,4,101,12,2484.35278761761,66,"Some college","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",4740,"No","No","No",19,56880,"no","part time"
"102",11,2021,41841885221,1,102,12,2977.82775788665,47,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",4953,"No","No","No",40,59436,"yes","full time"
"103",11,2018,41841891918,4,101,12,9811.41147713159,55,"High School or less","Male","Hispanic","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4357,"No","No","No",66,52284,"yes","full time"
"104",11,2021,41843825321,1,101,12,2998.86885982465,52,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",14420,"Yes","Yes","Yes",66,173040,"yes","full time"
"105",11,2021,41843825321,1,102,12,2998.86885982465,56,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",14420,"Yes","Yes","Yes",45,173040,"yes","full time"
"106",11,2018,41843836918,4,101,12,5003.47565642123,55,"Some college","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",4460,"Yes","Yes","No",66,53520,"yes","full time"
"107",11,2021,41847202321,1,101,12,3158.37486594139,40,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, not-for-profit company",2230,"Yes","Yes","Yes",32,26760,"yes","part time"
"108",11,2021,41847202321,1,102,12,2914.8373243588,44,"High School or less","Male","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2822,"Yes","No","No",40,33864,"yes","full time"
"109",11,2018,41847225318,4,101,12,9726.34575249442,31,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",95260,"Yes","No","No",20,1143120,"yes","part time"
"110",11,2020,41847276520,2,101,12,3475.33406040826,60,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",3579,"No","No","No",33,42948,"yes","part time"
"111",11,2018,41849408618,4,101,12,5096.96826535168,38,"Bachelor's degree or higher","Female","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",9719,"Yes","Yes","Yes",28,116628,"yes","part time"
"112",11,2018,41849408618,4,102,12,5096.96826535168,38,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",9719,"No","No","No",40,116628,"yes","full time"
"113",11,2020,41849490520,2,101,12,7572.03712455007,40,"Some college","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, not-for-profit company",12300,"Yes","Yes","Yes",24,147600,"yes","part time"
"114",41,2018,41850054918,4,101,12,6026.56052626042,42,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",6974,"No","No","No",40,83688,"yes","full time"
"115",11,2021,41850165521,1,101,12,3763.28945635824,50,"High School or less","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",2406,"No","No","No",40,28872,"yes","full time"
"116",11,2021,41850165521,1,102,12,3103.13364340791,53,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",4013,"No","No","No",40,48156,"yes","full time"
"117",11,2018,41850168718,4,101,12,3538.02779677681,52,"Bachelor's degree or higher","Male","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",10652,"No","No","No",40,127824,"yes","full time"
"118",41,2018,41853317418,4,103,12,6387.54241719271,27,"Some college","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",7939,"No","No","No",37,95268,"yes","full time"
"119",41,2018,41853317418,4,105,12,6387.54241719271,29,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",7939,"No","No","No",40,95268,"yes","full time"
"120",11,2018,41853329118,4,102,12,7699.15539044039,46,"Bachelor's degree or higher","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",13153,"Yes","Yes","Yes",50,157836,"yes","full time"
"121",11,2018,41853329118,4,104,12,8059.5499142377,17,"High School or less","Female","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",13153,"No","No","No",15,157836,"no","part time"
"122",11,2021,41853361921,1,102,12,3486.14797185531,45,"Some college","Female","Mixed/Other","Nonmetropolitan area","Employer","Employee of a private, for-profit company",2266,"No","No","No",35,27192,"yes","full time"
"123",11,2020,41853389420,2,101,12,2919.9902999143,70,"Some college","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",1606,"No","No","No",40,19272,"no","full time"
"124",31,2018,41853390318,4,102,12,4990.57040658808,29,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",5352,"No","No","No",36,64224,"yes","full time"
"125",11,2021,41853393321,1,101,12,1868.4827457334,62,"Bachelor's degree or higher","Female","Non-Hispanic White","Nonmetropolitan area","Employer","Employee of a private, for-profit company",12001,"Yes","No","No",55,144012,"yes","full time"
"126",11,2020,41858865520,2,102,12,4218.5869645499,31,"High School or less","Female","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",5962,"Yes","Yes","Yes",40,71544,"yes","full time"
"127",11,2020,41858865520,2,201,12,4350.94691905771,22,"High School or less","Female","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",5962,"No","No","No",40,71544,"yes","full time"
"128",11,2020,41858865520,2,202,12,4270.77615584651,24,"High School or less","Male","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",1233,"No","No","No",35,14796,"yes","full time"
"129",11,2018,41860602918,4,102,12,5153.10612585917,25,"High School or less","Female","Hispanic","Metropolitan area","Employer","Employee of a private, for-profit company",1659,"No","No","No",32,19908,"yes","part time"
"130",11,2020,41860602920,2,102,12,6936.60446929803,20,"High School or less","Male","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",2553,"No","No","No",35,30636,"yes","full time"
"131",41,2018,41860914218,4,105,12,4592.65308316979,27,"High School or less","Male","Mixed/Other","Metropolitan area","Employer","Employee of a private, for-profit company",2464,"Yes","Yes","No",40,29568,"yes","full time"
"132",11,2021,41863584421,1,101,12,15764.0644300939,21,"High School or less","Female","Non-Hispanic Black","Metropolitan area","Employer","Employee of a private, for-profit company",1830,"No","No","No",40,21960,"yes","full time"
"133",11,2021,41866243121,1,101,12,2215.12573813556,64,"Bachelor's degree or higher","Female","Non-Hispanic White","Metropolitan area","Employer","Employee of a private, for-profit company",8756,"Yes","Yes","Yes",40,105072,"yes","full time"
